Block|DatabaseName|ServerName|RunAtUtc|SqlServerVersion
-----|------------|----------|--------|----------------
PREAMBLE|NexGenErpDb|DESKTOP-FIIBE97\SQLEXPRESS|2026-08-26 15:58:54.7695433|Microsoft SQL Server 2019 (RTM) - 15.0.2000.5 (X64) 
	Sep 24 2019 13:48:23 
	Copyright (C) 2019 Microsoft Corporation
	Express Edition (64-bit) on Windows 10 Pro 10.0 <X64> (Build 26200: ) (Hypervisor)

Block|TableName|IndexName|IndexType|IsUnique|IsPrimaryKey|IsUniqueConstraint|HasFilter|FilterDefinition|KeyColumns
BLOCK1-CONSTRAINTS|StaffFamilyDetail|PK_StaffFamilyDetail|CLUSTERED|1|1|0|0||Slno
BLOCK1-CONSTRAINTS|StaffLoan|PK_StaffLoan|CLUSTERED|1|1|0|0||LoanId
BLOCK1-CONSTRAINTS|State|PK_State|CLUSTERED|1|1|0|0||StateCode
BLOCK1-CONSTRAINTS|StockAdd|PK_StockAdd|CLUSTERED|1|1|0|0||AddId
BLOCK1-CONSTRAINTS|StockIssue|PK_StockIssue|CLUSTERED|1|1|0|0||IssueId
BLOCK1-CONSTRAINTS|StockIssueRequest|PK_StockIssueRequest|CLUSTERED|1|1|0|0||RequestId
BLOCK1-CONSTRAINTS|StockIssueRequestSub|PK_StockIssueRequestSub|CLUSTERED|1|1|0|0||RequestSubId
BLOCK1-CONSTRAINTS|StockIssueTrack|PK_StockIssueTrack|CLUSTERED|1|1|0|0||IssueTrackId
BLOCK1-CONSTRAINTS|StoreInterTrans|PK_StoreInterTrans|CLUSTERED|1|1|0|0||ISTId
BLOCK1-CONSTRAINTS|StoreInterTransSub|PK_StoreInterTransSub|CLUSTERED|1|1|0|0||ISTSubId
BLOCK1-CONSTRAINTS|StoreMap|PK_StoreMap|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|Stores|PK_Stores|CLUSTERED|1|1|0|0||StoreId
BLOCK1-CONSTRAINTS|SubConDcOut|PK_SubConDcOut|CLUSTERED|1|1|0|0||DcId
BLOCK1-CONSTRAINTS|SubConDcOutSub|PK_SubConDcOutSub|CLUSTERED|1|1|0|0||DcSubId
BLOCK1-CONSTRAINTS|SubConGRN|PK_SubConGRN|CLUSTERED|1|1|0|0||GRNId
BLOCK1-CONSTRAINTS|SubConGRNSub|PK_SubConGRNSub|CLUSTERED|1|1|0|0||GRNSubId
BLOCK1-CONSTRAINTS|SubConGRNTrack|PK_SubConGRNTrack|CLUSTERED|1|1|0|0||TrackId
BLOCK1-CONSTRAINTS|SubConInv|PK_SubConInv|CLUSTERED|1|1|0|0||InvId
BLOCK1-CONSTRAINTS|SubConInvSub|PK_SubConInvSub|CLUSTERED|1|1|0|0||InvSubId
BLOCK1-CONSTRAINTS|SubConSCN|PK_SubConSCN|CLUSTERED|1|1|0|0||SCNId
BLOCK1-CONSTRAINTS|SubConSCNSub|PK_SubConSCNSub|CLUSTERED|1|1|0|0||SCNSubId
BLOCK1-CONSTRAINTS|TermsAndConditions|PK_TermsAndConditions|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|ToolCribIssue|PK_ToolCribIssue|CLUSTERED|1|1|0|0||TCIssueId
BLOCK1-CONSTRAINTS|ToolCribIssueSub|PK_ToolCribIssueSub|CLUSTERED|1|1|0|0||TCIssueSubId
BLOCK1-CONSTRAINTS|ToolCribReturns|PK_ToolCribReturns|CLUSTERED|1|1|0|0||TCReturnId
BLOCK1-CONSTRAINTS|ToolCribReturnSubs|PK_ToolCribReturnSubs|CLUSTERED|1|1|0|0||TCReturnSubId
BLOCK1-CONSTRAINTS|UOM|PK_UOM|CLUSTERED|1|1|0|0||UnitCode
BLOCK1-CONSTRAINTS|UserAuthority|PK_UserAuthority|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|UserColumnPreference|PK_UserColumnPreference|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|UserPreferences|PK_UserPreferences|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|UserRights|PK_UserRights|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|Users|IX_User_EmailId|NONCLUSTERED|1|0|0|1|([EmailId] IS NOT NULL)|EmailId
BLOCK1-CONSTRAINTS|Users|IX_User_UserName|NONCLUSTERED|1|0|0|0||UserName
BLOCK1-CONSTRAINTS|Users|PK_Users|CLUSTERED|1|1|0|0||UserId
BLOCK1-CONSTRAINTS|UserThemePreferences|PK_UserThemePreferences|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|Vendor|PK_Vendor|CLUSTERED|1|1|0|0||VendorCode
BLOCK1-CONSTRAINTS|VendorContact|PK_VendorContact|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|VendorInDirect|PK_VendorInDirect|CLUSTERED|1|1|0|0||AltVendorCode
Block|TableName|ColumnName|DataType|MaxLength|IsNullable
-----|---------|----------|--------|---------|----------
BLOCK1-NUMBERCOLUMNS|Advaceadjustment|AdvaceadjustmentNo|nvarchar|-1|1
BLOCK1-NUMBERCOLUMNS|Advaceadjustment|Suffix|nvarchar|-1|1
BLOCK1-NUMBERCOLUMNS|AdvaceadjustmentSub|BillNo|nvarchar|-1|0
BLOCK1-NUMBERCOLUMNS|AppointmentLetter|AppointmentNo|nvarchar|-1|0
BLOCK1-NUMBERCOLUMNS|AppointmentLetter|Suffix|nvarchar|-1|0
BLOCK1-NUMBERCOLUMNS|AppointmetLetterSub|SlNo|int|4|0
BLOCK1-NUMBERCOLUMNS|AssemblyModify|RecNo|int|4|0
BLOCK1-NUMBERCOLUMNS|AssmblyDef|SlNo|int|4|0
BLOCK1-NUMBERCOLUMNS|AssmblyDefLabour|SlNo|int|4|0
BLOCK1-NUMBERCOLUMNS|Bank|AccountNo|nvarchar|100|0
BLOCK1-NUMBERCOLUMNS|CalibrationHistory|CalibrateNo|nvarchar|500|0
BLOCK1-NUMBERCOLUMNS|Candidate|PhoneNo|nvarchar|26|0
BLOCK1-NUMBERCOLUMNS|CompanyDetails|BankAccountNumber|nvarchar|40|1
BLOCK1-NUMBERCOLUMNS|CompanyDetails|CustomsRegistrationNumber|nvarchar|60|1
BLOCK1-NUMBERCOLUMNS|CompanyDetails|EOURegistrationNo|nvarchar|100|1
BLOCK1-NUMBERCOLUMNS|CompanyDetails|ESIRegistrationNumber|nvarchar|50|1
BLOCK1-NUMBERCOLUMNS|CompanyDetails|ExciseRegistrationNumber|nvarchar|60|1
BLOCK1-NUMBERCOLUMNS|CompanyDetails|IECNumber|nvarchar|60|1
BLOCK1-NUMBERCOLUMNS|CompanyDetails|LUTNumber|nvarchar|100|1
BLOCK1-NUMBERCOLUMNS|CompanyDetails|MobileNumber|nvarchar|30|1
